Name:,MRTJ Failure History(Formation)
RakeID,5
CarID,-
CarNo,-
ReadTime,26-05-07 16:08:16
DataSize,15
DataCount,200
-,
-,
-,
-,
-,
-,
-,
-,
-,
,,,,,,,,,,,,,,,,
Block.No,Year,Month,Day,Hour,Minute,Second,CarNo,Train ID,Occur/Recover,Location[m],Failure Equipment,Fault Code,Notch,Speed[km/h],Overhead Voltage[V],
79,26,05,06,14,45,18,01,FFFF,1,0,20,1200,EB,0,0,
80,26,05,06,14,45,18,01,FFFF,1,0,8,700,EB,0,0,
81,26,05,06,14,45,18,01,FFFF,1,0,7,600,EB,0,0,
82,26,05,06,14,45,18,01,FFFF,1,0,6,500,EB,0,0,
83,26,05,06,14,45,18,01,FFFF,1,0,1,121,EB,0,0,
84,26,05,06,14,44,57,06,FFFF,0,0,9,800,EB,0,1570,
85,26,05,06,14,44,54,06,FFFF,0,0,2,200,EB,0,1560,
86,26,05,06,14,44,54,01,FFFF,0,0,2,200,EB,0,1560,
87,26,05,06,14,44,52,06,FFFF,1,0,2,200,EB,0,0,
88,26,05,06,14,44,52,01,FFFF,1,0,2,200,EB,0,0,
89,26,05,06,14,44,50,06,FFFF,1,0,9,800,EB,0,10,
90,26,05,06,14,41,48,06,FFFF,0,0,19,1103,EB,0,1570,
91,26,05,06,13,49,14,06,FFFF,1,0,19,1103,EB,0,1570,
92,26,05,06,13,44,18,06,FFFF,0,0,9,806,EB,0,1570,
93,26,05,06,13,44,17,06,FFFF,1,0,9,806,EB,0,1530,
94,26,05,06,13,44,12,03,FFFF,0,0,8,700,EB,0,0,
95,26,05,06,13,44,12,03,FFFF,0,0,7,600,EB,0,0,
96,26,05,06,13,44,12,03,FFFF,0,0,6,500,EB,0,0,
97,26,05,06,13,44,12,03,FFFF,0,0,4,301,EB,0,0,
98,26,05,06,13,44,12,03,FFFF,0,0,3,300,EB,0,0,
99,00,05,00,00,00,00,01,FFFF,0,0,1,121,EB,0,0,
100,00,05,00,00,00,00,03,FFFF,1,0,8,700,EB,0,0,
101,00,05,00,00,00,00,03,FFFF,1,0,7,600,EB,0,0,
102,00,05,00,00,00,00,03,FFFF,1,0,6,500,EB,0,0,
103,00,05,00,00,00,00,03,FFFF,1,0,4,301,EB,0,0,
104,00,05,00,00,00,00,03,FFFF,1,0,3,300,EB,0,0,
105,00,05,00,00,00,00,01,FFFF,1,0,1,121,EB,0,0,
106,26,05,06,09,16,32,06,0107,0,-81,2,212,Neutral,20,1550,
107,26,05,06,09,16,32,06,0107,0,-81,2,211,Neutral,20,1550,
108,26,05,06,09,16,32,01,0107,0,-81,2,212,Neutral,20,1550,
109,26,05,06,09,16,32,01,0107,0,-81,2,211,Neutral,20,1550,
110,26,05,06,09,16,30,06,0107,1,-70,2,212,Neutral,19,1540,
111,26,05,06,09,16,30,06,0107,1,-70,2,211,Neutral,19,1540,
112,26,05,06,09,16,30,01,0107,1,-70,2,212,Neutral,19,1540,
113,26,05,06,09,16,30,01,0107,1,-70,2,211,Neutral,19,1540,
114,26,05,06,09,16,15,06,0107,0,8,2,212,Neutral,18,1590,
115,26,05,06,09,16,15,06,0107,0,8,2,211,Neutral,18,1590,
116,26,05,06,09,16,13,06,0107,1,18,2,212,Neutral,18,1590,
117,26,05,06,09,16,13,06,0107,1,18,2,211,Neutral,18,1590,
118,26,05,06,09,16,13,01,0107,0,18,2,212,Neutral,18,1590,
119,26,05,06,09,16,13,01,0107,0,18,2,211,Neutral,18,1590,
